exp	azimuth	deepcrispr	deephf
0.0918701233324943	0.6019	0.3845938444	0.5368136763572693
0.276470324144742	0.5833	0.2534072697	0.6599763631820679
0.0872382851445663	0.6258	0.1096075624	0.5896314978599548
0.54567169195314	0.6604	0.2287474573	0.6764035224914551
0.31921300630343796	0.6384	0.2455406934	0.6456111669540405
0.18797198805760398	0.7584	0.3488602936	0.7090621590614319
0.141891891891891	0.6962	0.3974213600	0.6719563007354736
0.16886176128281302	0.6418	0.2332230359	0.6981231570243835
0.279429246876055	0.5684	0.1554161757	0.6697866916656494
0.138200995807127	0.6592	0.1593045294	0.6229056119918823
0.0952661529011792	0.6887	0.3236375153	0.762232780456543
0.0887989203778677	0.5946	0.1668440551	0.6678327918052673
0.135743924125666	0.7155	0.1766720712	0.6774510145187378
0.7338701210599001	0.5770000000000001	0.1353249252	0.6582819223403931
0.43760275249571995	0.6569	0.0842683762	0.6478140950202942
0.4813300142247511	0.7203	0.2706314027	0.6589810252189636
0.0858350374914792	0.6623	0.2891576290	0.663800060749054
0.10035880118193302	0.7351	0.2882281244	0.6927586793899536
0.122311827956989	0.7134	0.4029555917	0.7331781387329102
0.153702602588929	0.6524	0.1704917699	0.5926600098609924
0.22271625670286	0.6398	0.1730466187	0.6617298126220703
0.35106106085094707	0.6619	0.1436991096	0.6910192370414734
0.120326426669753	0.6966	0.3183391392	0.6948563456535339
0.264351851851851	0.5921	0.1636920273	0.5722456574440002
0.11939253313265599	0.6525	0.3606309891	0.6692548990249634
0.5108284113281839	0.7101	0.1609115005	0.7036101818084717
0.14424584080447198	0.5852	0.2143096328	0.6254590153694153
0.439790422667135	0.7287	0.1554703116	0.6835156083106995
0.218571776605643	0.6563	0.2389616817	0.6884276270866394
0.11841547803982401	0.6359	0.3256671131	0.5962911248207092
0.268912350540146	0.6547	0.2237333655	0.6366979479789734
0.21141826923076898	0.6657	0.3069289029	0.6935524344444275
0.20308775206668697	0.5495	0.2794833779	0.6813480854034424
0.38740391334730895	0.7262	0.1831648499	0.6478604078292847
0.278872127195298	0.5951	0.2936764061	0.6865834593772888
0.23320105820105802	0.6493	0.1461983621	0.6270450353622437
0.593164585191793	0.6785	0.2069960833	0.6411336660385132
0.5588470109315501	0.6473	0.1294285655	0.5659518837928772
0.435247747747747	0.6908	0.3780878186	0.6829010844230652
0.220669341757022	0.5403	0.2379679084	0.6082831621170044
0.208496191722112	0.5168	0.1715851724	0.6529809832572937
0.495944849959448	0.6178	0.4246926904	0.7146299481391907
0.141603939632251	0.6633	0.1796595752	0.5188415050506592
0.319547879506385	0.6792	0.2836019993	0.6860595941543579
0.743014705882352	0.6553	0.2413396239	0.6437711715698242
0.330644764778187	0.6642	0.4432541430	0.7112094759941101
0.513532052881017	0.6196	0.2567848861	0.6529151797294617
0.299475065616797	0.6117	0.3350038528	0.6544357538223267
0.386266654023043	0.7190000000000001	0.3877406120	0.7279748320579529
0.430223350808213	0.6297	0.1717797071	0.6294598579406738
0.13695097453716198	0.6974	0.3926258385	0.6616360545158386
0.42990906939796397	0.594	0.1741584986	0.6373811364173889
0.173938223938223	0.6327	0.1725751609	0.7226682901382446
0.36947368421052595	0.693	0.3836241066	0.6720824241638184
0.28354008130928804	0.6963	0.3320358694	0.6352536678314209
0.45364727318421705	0.6688	0.2328955978	0.5796523094177246
0.197511814361775	0.716	0.2351923138	0.6614061594009399
0.328715953307393	0.6144	0.1552903652	0.6096964478492737
0.23366386655363397	0.6426	0.5037854910	0.689947247505188
0.0777511961722488	0.6064	0.1996286064	0.6029654741287231
0.0687446792043959	0.6296	0.1412697583	0.5840381979942322
0.683333333333333	0.6405	0.2742894292	0.38046830892562866
0.6889894086496021	0.5851	0.3301142156	0.6846098899841309
0.21189479976090803	0.5722	0.2514603734	0.6374220252037048
0.360276561878233	0.6355	0.1928874254	0.667087197303772
0.294036446490176	0.5685	0.1439953446	0.5893008708953857
0.191751419263137	0.6292	0.1917559803	0.5642402172088623
0.17416220520466197	0.7158	0.2512393892	0.601012110710144
0.0658655985758789	0.598	0.2710489333	0.6692286729812622
0.458041958041957	0.6519	0.1111304760	0.4002837836742401
0.20870088211708102	0.6683	0.2616258264	0.7100697755813599
0.584145021645021	0.736	0.2711256146	0.7285798788070679
0.197925289735099	0.5878	0.3520383835	0.6371943950653076
0.37207966296438105	0.765	0.1460062265	0.6912781000137329
0.42381462103917894	0.7789	0.3763525188	0.6850183606147766
0.122198963659448	0.6941	0.1097416878	0.7102989554405212
0.121315645677498	0.6696	0.2429813445	0.6947336196899414
0.53165156941226	0.6237	0.3454923630	0.6753061413764954
0.475873761085028	0.6603	0.2335048020	0.6555729508399963
0.17230943824475103	0.6499	0.4939355552	0.7293328642845154
0.171496133923879	0.6947	0.4335368276	0.7172684073448181
0.435817345806247	0.6455	0.1602727920	0.5974757075309753
0.15245330340317	0.6314	0.2563839853	0.6724168658256531
0.33100896878672903	0.7464	0.1617307365	0.6914365291595459
0.10006449654753698	0.5539999999999999	0.2031337321	0.6051707863807678
0.13711149961149902	0.6919	0.1784248948	0.6354166269302368
